Cyngas Set || Set price: 100.0 || Parts sum: 39.0 || Profit: 61.0
Orthos Prime Set || Set price: 9.0 || Parts sum: 9.0 || Profit: 0.0
Dethcube Prime Set || Set price: 20.0 || Parts sum: 20.0 || Profit: 0.0
Pangolin Prime Set || Set price: 17.0 || Parts sum: 17.0 || Profit: 0.0
Lex Prime Set || Set price: 8.0 || Parts sum: 9.0 || Profit: -1.0
Tiberon Prime Set || Set price: 40.0 || Parts sum: 41.0 || Profit: -1.0
Stradavar Prime Set || Set price: 15.0 || Parts sum: 16.0 || Profit: -1.0
Akvasto Prime Set || Set price: 120.0 || Parts sum: 122.0 || Profit: -2.0
Atlas Prime Set || Set price: 29.0 || Parts sum: 31.0 || Profit: -2.0
Dera Vandal Set || Set price: 35.0 || Parts sum: 38.0 || Profit: -3.0
Wyrm Prime Set || Set price: 120.0 || Parts sum: 123.0 || Profit: -3.0
Akstiletto Prime Set || Set price: 100.0 || Parts sum: 103.0 || Profit: -3.0
Burston Prime Set || Set price: 5.0 || Parts sum: 8.0 || Profit: -3.0
Nyx Prime Set || Set price: 120.0 || Parts sum: 123.0 || Profit: -3.0
Kavasa Prime Kubrow Collar Set || Set price: 15.0 || Parts sum: 19.0 || Profit: -4.0
Zhuge Prime Set || Set price: 24.0 || Parts sum: 28.0 || Profit: -4.0
Paris Prime Set || Set price: 9.0 || Parts sum: 13.0 || Profit: -4.0
Pyrana Prime Set || Set price: 35.0 || Parts sum: 39.0 || Profit: -4.0
Ankyros Prime Set || Set price: 100.0 || Parts sum: 105.0 || Profit: -5.0
Gorgon Wraith Set || Set price: 6.0 || Parts sum: 11.0 || Profit: -5.0
Braton Prime Set || Set price: 5.0 || Parts sum: 10.0 || Profit: -5.0
Furax Wraith Set || Set price: 15.0 || Parts sum: 21.0 || Profit: -6.0
Euphona Prime Set || Set price: 80.0 || Parts sum: 86.0 || Profit: -6.0
Banshee Prime Set || Set price: 90.0 || Parts sum: 96.0 || Profit: -6.0
Valkyr Prime Set || Set price: 95.0 || Parts sum: 101.0 || Profit: -6.0
Baza Prime Set || Set price: 35.0 || Parts sum: 41.0 || Profit: -6.0
Damaged Necramech Set || Set price: 10.0 || Parts sum: 16.0 || Profit: -6.0
Sybaris Prime Set || Set price: 25.0 || Parts sum: 32.0 || Profit: -7.0
Spectra Vandal Set || Set price: 130.0 || Parts sum: 139.0 || Profit: -9.0
Imperator Vandal Set || Set price: 45.0 || Parts sum: 55.0 || Profit: -10.0
Snipetron Vandal Set || Set price: 37.0 || Parts sum: 49.0 || Profit: -12.0
Latron Wraith Set || Set price: 35.0 || Parts sum: 48.0 || Profit: -13.0
Elytron Set || Set price: 70.0 || Parts sum: 90.0 || Profit: -20.0
Wolf Sledge Set || Set price: 170.0 || Parts sum: 194.0 || Profit: -24.0
Bo Prime Set || Set price: 185.0 || Parts sum: 214.0 || Profit: -29.0
Strun Wraith Set || Set price: 50.0 || Parts sum: 85.0 || Profit: -35.0
Xiphos Set || Set price: 0 || Parts sum: 75.0 || Profit: -75.0
Itzal Set || Set price: 0 || Parts sum: 120.0 || Profit: -120.0
